Region,Proxy or Full MSA,Year,hpi,hpi_growth,hpi_growth_pct
"Chicago-Naperville-Elgin, IL-IN Metro Area",Proxy,2009,175.5275,-0.09123738,-9.123738027
"Chicago-Naperville-Elgin, IL-IN Metro Area",Proxy,2010,162.8,-0.072510006,-7.251000555
"Chicago-Naperville-Elgin, IL-IN Metro Area",Proxy,2011,152.36,-0.064127764,-6.412776413
"Chicago-Naperville-Elgin, IL-IN Metro Area",Proxy,2012,147.8775,-0.029420452,-2.942045156
"Chicago-Naperville-Elgin, IL-IN Metro Area",Proxy,2013,149.84,0.01327112,1.327111968
"Chicago-Naperville-Elgin, IL-IN Metro Area",Proxy,2014,156.855,0.046816604,4.681660438
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2005,153.94,NA,NA
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2006,158.5775,0.030125374,3.012537352
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2007,163.185,0.029055194,2.905519383
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2008,164.8475,0.010187824,1.018782364
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2009,164.565,-0.001713705,-0.171370509
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2010,162.5725,-0.012107678,-1.210767782
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2011,159.2875,-0.020206369,-2.020636947
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2012,161.095,0.011347406,1.134740642
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2013,169.75,0.053726062,5.372606226
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2014,184.5575,0.087231222,8.723122239
"Denver-Aurora-Centennial, CO Metro Area",Full,2005,194.1875,NA,NA
"Denver-Aurora-Centennial, CO Metro Area",Full,2006,196.1325,0.010016093,1.001609269
"Denver-Aurora-Centennial, CO Metro Area",Full,2007,193.865,-0.011561062,-1.156106204
"Denver-Aurora-Centennial, CO Metro Area",Full,2008,190.2425,-0.018685683,-1.868568334
